"Gemeenten";"CO2-uitstoot Gebouwde Omgeving (aardgas elektr. en stadswarmte woningen)|2019";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen excl. elektr. railverkeer (scope 1)|2019";"CO2-uitstoot Industrie Energie Afval en Water (aardgas en elektr.)|2019";"CO2-uitstoot Landbouw bosbouw en visserij SBI A (aardgas elektr.)|2019";"Totaal bekende CO2-uitstoot (aardgas elektr. stadswarmte woningen voertuigbrandstoffen)|2019"
"Aa en Hunze";72808;69765;-1;4748;155500
"Aalsmeer";-1;34722;14171;48393;210600
"Aalten";60873;36926;14392;7175;119400
"Achtkarspelen";62072;42529;-1;3380;149900
"Alblasserdam";-1;38675;41812;-1;126000
"Albrandswaard";58914;42955;1927;2876;106700
"Alkmaar";261274;149057;-1;5567;484700
"Almelo";185595;126488;166510;2683;481300
"Almere";364343;298742;42224;27056;735100
"Alphen aan den Rijn";-1;146091;-1;12439;429900
"Alphen-Chaam";26543;22997;1889;11208;62600
"Altena";118798;203599;40383;16479;379300
"Ameland";21967;8278;810;505;31600
"Amersfoort";362613;295450;25134;1148;684300
"Amstelveen";228047;111446;8142;24254;371900
"Amsterdam";2657362;1138694;450069;-1;4369600
"Apeldoorn";470560;439626;161437;5940;107760
"Arnhem";430983;370100;55177;1576;857800
"Assen";177841;113234;-1;1287;306300
"Asten";44798;76635;13468;107241;242100
"Baarle-Nassau";19742;11957;-1;7648;59700
"Baarn";66915;65000;4291;408;136600
"Barendrecht";113716;127054;-1;4531;256500
"Barneveld";163163;213739;45006;14672;436600
"Beek";-1;56358;-1;-1;-1
"Beekdaelen";90842;66872;19013;1702;178400
"Beemster";23127;76314;-1;-1;-1
"Beesel";32011;32965;14852;5415;85200
"Berg en Dal";87842;68504;-1;3547;175000
"Bergeijk";52072;31585;11417;7546;102600
"Bergen (L.)";34183;35733;12461;28684;111100
"Bergen (NH.)";87904;40871;-1;6335;139200
"Bergen op Zoom";168734;132358;607812;-1;956100
"Berkelland";109270;77190;87483;15723;289700
"Bernheze";70569;108781;10452;14799;204600
"Best";90507;87571;28176;3102;209400
"Beuningen";59048;116269;-1;3103;-1
"Beverwijk";99519;58577;-1;-1;197900
"Bladel";54722;48298;25242;5751;134000
"Blaricum";37114;26394;1072;857;65400
"Bloemendaal";-1;24335;1553;722;100700
"Bodegraven-Reeuwijk";82059;165452;24156;3476;275100
"Boekel";24588;10161;2595;26923;64300
"Borger-Odoorn";69074;40035;-1;6461;124200
"Borne";47535;52682;4273;926;105400
"Borsele";59702;100093;-1;8035;-1
"Boxmeer";75016;116100;74401;9846;275400
"Boxtel";-1;111181;35542;-1;234300
"Breda";485880;404552;58409;44987;993800
"Brielle";38475;30325;1314;100687;170800
"Bronckhorst";91541;76320;95772;15153;278800
"Brummen";52651;39468;292002;1407;385500
"Brunssum";66122;26355;-1;105;110600
"Bunnik";44201;65341;7114;2162;118800
"Bunschoten";51561;23193;42242;2481;119500
"Buren";62604;59937;6346;8754;137900
"Capelle aan den IJssel";135752;62129;7171;53;205100
"Castricum";78199;53714;3398;2261;137600
"Coevorden";101425;92794;88500;9427;292100
"Cranendonck";-1;54337;-1;-1;502200
"Cuijk";65418;84276;80855;3884;234400
"Culemborg";69518;47055;8095;-1;129400
"Dalfsen";-1;61067;18905;10298;154800
"Dantumadiel";39361;24253;4368;2388;70400
"De Bilt";120187;102207;-1;2173;241400
"De Fryske Marren";-1;180976;81247;11667;421900
"De Ronde Venen";102710;139370;20222;13053;275400
"De Wolden";59223;96933;-1;10627;194000
"Delft";261713;116307;117744;230;496000
"Den Haag";1298709;431425;50524;2856;1783500
"Den Helder";181706;67671;-1;7551;277200
"Deurne";81529;78857;18825;27008;206200
"Deventer";239905;195417;85841;5562;527100
"Diemen";71179;65781;11679;21;148700
"Dinkelland";69142;59347;13697;15463;157600
"Doesburg";23932;11935;12069;256;48200
"Doetinchem";153541;91132;80591;3675;328900
"Dongen";58926;22190;146121;34064;261100
"Dordrecht";280743;240642;-1;754;622500
"Drechterland";40233;29414;2347;33307;105300
"Drimmelen";59650;67363;5983;67189;200200
"Dronten";99913;126425;21133;19252;266700
"Druten";42474;50050;18988;2747;114300
"Duiven";-1;63155;9083;4448;130300
"Echt-Susteren";83766;124835;-1;3516;-1
"Edam-Volendam";-1;40741;21994;1751;-1
"Ede";302151;283246;53946;20613;660000
"Eemnes";20621;67785;-1;777;95500
"Eemsdelta";121350;88894;-1;8354;-1
"Eersel";50037;67311;11171;6159;134700
"Eijsden-Margraten";66027;42589;-1;2312;-1
"Eindhoven";694189;418887;230808;1761;1345600
"Elburg";54158;56016;12363;2009;124500
