"Gemeenten";"Aandeel huishoudens met vermogen van minimaal € 5.000|2018";"Aandeel huishoudens met vermogen van minimaal € 10.000|2018";"Aandeel huishoudens met vermogen van minimaal € 20.000|2018";"Aandeel huishoudens met vermogen van minimaal € 15.000|2018";"Aandeel huishoudens met vermogen van minimaal € 25.000|2018";"Aandeel huishoudens met vermogen van minimaal € 30.000|2018";"Aandeel huishoudens met vermogen van minimaal € 35.000|2018";"Aandeel huishoudens met vermogen van minimaal € 40.000|2018";"Aandeel huishoudens met vermogen van minimaal € 45.000|2018";"Aandeel huishoudens met vermogen van minimaal € 50.000|2018"
"Aa en Hunze";86;77;61;68;56;50;46;42;39;36
"Aalsmeer";89;80;67;73;61;56;52;47;44;40
"Aalten";84;73;56;64;49;44;40;36;32;30
"Achtkarspelen";83;71;55;62;48;43;38;35;31;28
"Alblasserdam";85;74;58;66;51;46;41;37;34;30
"Albrandswaard";88;79;64;71;58;52;48;44;40;37
"Alkmaar";83;72;55;63;49;44;39;35;32;29
"Almelo";74;62;45;52;39;35;31;27;24;22
"Almere";74;61;45;52;39;34;30;27;24;21
"Alphen aan den Rijn";85;75;60;67;54;49;44;40;37;33
"Alphen-Chaam";91;85;74;78;69;64;59;55;51;48
"Altena";88;79;64;71;58;53;48;43;40;36
"Ameland";85;74;58;66;52;47;43;38;35;32
"Amersfoort";86;76;61;68;55;50;45;41;37;34
"Amstelveen";90;84;73;78;68;64;60;56;53;50
"Amsterdam";84;75;61;67;55;51;47;43;40;37
"Apeldoorn";84;74;58;65;51;47;42;38;35;31
"Arnhem";81;69;53;61;47;42;37;34;31;28
"Assen";81;69;52;60;45;40;36;32;29;26
"Asten";90;83;69;76;63;58;53;48;44;40
"Baarle-Nassau";90;83;72;77;66;61;57;53;49;45
"Baarn";88;80;66;73;61;56;52;48;45;42
"Barendrecht";87;79;64;71;58;53;48;44;40;37
"Barneveld";87;77;61;69;55;50;45;41;37;34
"Beek";86;78;63;70;57;52;47;42;38;35
"Beekdaelen";84;74;59;66;52;47;43;38;35;32
"Beemster";89;81;67;74;62;57;53;49;46;42
"Beesel";85;75;59;67;52;47;42;38;34;31
"Berg en Dal";86;77;62;69;56;51;46;42;38;35
"Bergeijk";91;84;71;77;65;60;55;50;47;43
"Bergen (L.)";85;74;59;66;52;47;42;38;35;31
"Bergen (NH.)";89;81;68;74;63;58;54;51;48;45
"Bergen op Zoom";82;73;57;64;51;46;42;38;34;31
"Berkelland";87;77;61;69;55;50;46;41;38;34
"Bernheze";90;82;70;75;64;59;54;49;46;42
"Best";88;80;66;72;60;55;50;46;43;39
"Beuningen";86;76;61;68;54;49;44;40;36;33
"Beverwijk";80;68;51;58;44;40;35;31;28;25
"Bladel";90;82;69;75;63;58;53;49;45;41
"Blaricum";89;81;71;76;66;62;58;55;53;50
"Bloemendaal";94;89;81;84;77;73;70;67;64;62
"Bodegraven-Reeuwijk";89;80;67;73;61;57;52;49;45;41
"Boekel";90;82;68;74;62;57;52;48;44;40
"Borger-Odoorn";80;69;52;59;46;41;37;33;30;27
"Borne";85;75;59;66;53;47;43;39;35;32
"Borsele";86;77;62;68;56;51;47;43;39;36
"Boxmeer";89;81;67;73;61;56;51;47;43;40
"Boxtel";89;81;66;73;60;55;50;45;42;38
"Breda";86;77;63;69;57;52;47;43;39;36
"Brielle";84;73;57;64;51;46;42;38;35;32
"Bronckhorst";88;79;65;71;59;54;50;46;42;39
"Brummen";87;76;60;67;55;50;45;41;38;35
"Brunssum";74;60;43;50;37;32;28;25;22;19
"Bunnik";93;87;76;81;71;66;61;57;53;50
"Bunschoten";84;73;56;64;49;44;39;36;32;30
"Buren";86;77;64;70;58;53;48;44;40;37
"Capelle aan den IJssel";82;71;56;62;50;45;41;37;34;31
"Castricum";90;82;68;75;63;58;53;49;45;42
"Coevorden";82;71;55;62;49;44;39;36;32;29
"Cranendonck";89;81;67;73;62;58;53;48;44;41
"Cuijk";84;75;59;66;53;48;44;40;36;33
"Culemborg";87;77;62;69;56;50;46;42;39;35
"Dalfsen";90;82;69;75;63;56;52;47;43;40
"Dantumadiel";86;74;58;65;51;46;41;36;33;30
"De Bilt";92;86;76;81;71;67;63;59;56;53
"De Fryske Marren";85;75;59;66;53;48;43;39;36;33
"De Ronde Venen";90;83;71;76;66;61;56;52;49;46
