"Gemeenten";"energy";"electricity";"warmth";"transport"
"Aa en Hunze";8,1;16,9;7,5;6,0
"Aalsmeer";2,6;4,0;0,9;6,0
"Aalten";13,6;41,1;6,5;5,9
"Achtkarspelen";8,0;17,7;5,6;5,3
"Alblasserdam";3,0;2,2;2,3;4,7
"Albrandswaard";4,7;6,2;5,1;3,7
"Alkmaar";34,9;108,5;21,4;5,9
"Almelo";5,4;4,9;5,3;5,9
"Almere";9,1;14,2;9,8;5,6
"Alphen aan den Rijn";6,3;12,9;3,5;5,9
"Alphen-Chaam";5,9;8,9;4,7;5,9
"Altena";5,5;7,0;6,4;4,5
"Ameland";6,6;26,2;1,0;2,9
"Amersfoort";8,5;7,9;11,5;6,0
"Amstelveen";4,0;3,9;2,8;5,9
"Amsterdam";6,2;9,8;5,2;4,3
"Apeldoorn";6,3;7,2;6,1;6,0
"Arnhem";4,6;3,9;3,3;6,0
"Assen";6,8;11,8;5,4;5,9
"Asten";4,1;10,6;1,6;6,2
"Baarle-Nassau";4,7;5,1;3,8;5,9
"Baarn";4,5;6,2;2,1;6,0
"Barendrecht";4,7;4,8;3,6;5,3
"Barneveld";6,1;8,4;4,8;6,0
"Beek";"?";7,6;"?";6,0
"Beekdaelen";6,0;12,6;3,7;6,0
"Beemster";"?";5,5;"?";6,0
"Beesel";6,0;7,0;5,9;5,7
"Berg en Dal";4,8;7,7;"?";3,3
"Bergeijk";9,3;12,1;10,2;6,0
"Bergen (L.)";4,5;6,3;4,0;4,4
"Bergen (NH.)";5,7;10,0;4,3;5,9
"Bergen op Zoom";1,8;3,4;0,6;5,4
"Berkelland";27,9;7,4;35,0;5,9
"Bernheze";7,9;10,1;10,0;6,0
"Best";6,5;6,8;7,0;6,0
"Beuningen";"?";108,4;"?";5,2
"Beverwijk";3,9;5,5;2,2;6,0
"Bladel";6,3;7,9;5,7;6,1
"Blaricum";5,2;3,6;5,1;6,0
"Bloemendaal";4,1;3,3;3,6;5,9
"Bodegraven-Reeuwijk";6,5;7,3;7,1;6,0
"Boekel";7,7;15,2;5,6;5,9
"Borger-Odoorn";9,5;16,3;9,5;5,9
"Borne";6,1;8,9;5,0;6,0
"Borsele";"?";39,8;"?";3,4
"Boxmeer";4,5;7,6;1,8;5,5
"Boxtel";5,9;5,8;5,8;6,0
"Breda";6,6;7,6;6,6;6,0
"Brielle";12,6;4,2;15,1;5,9
"Bronckhorst";4,7;10,2;2,9;5,6
"Brummen";1,6;3,3;0,9;5,5
"Brunssum";4,5;6,8;3,0;5,9
"Bunnik";6,3;7,0;6,6;6,0
