"Gemeenten";"Gemiddeld inkomen per huishouden|2018"
"Aa en Hunze";59800
"Aalsmeer";71100
"Aalten";54300
"Achtkarspelen";48700
"Alblasserdam";59400
"Albrandswaard";77200
"Alkmaar";55300
"Almelo";49300
"Almere";60100
"Alphen aan den Rijn";63000
"Alphen-Chaam";66500
"Altena";63400
"Ameland";49700
"Amersfoort";64500
"Amstelveen";68800
"Amsterdam";54100
"Apeldoorn";57600
"Arnhem";48600
"Assen";53200
"Asten";58900
"Baarle-Nassau";59500
"Baarn";69500
"Barendrecht";74400
"Barneveld";63000
"Beek";58300
"Beekdaelen";59600
"Beemster";71700
"Beesel";54500
"Berg en Dal";56800
"Bergeijk";63200
"Bergen (L.)";55900
"Bergen (NH.)";66900
"Bergen op Zoom";56700
"Berkelland";56300
"Bernheze";64400
"Best";66600
"Beuningen";62600
"Beverwijk";55300
"Bladel";60800
"Blaricum";93000
"Bloemendaal";103000
"Bodegraven-Reeuwijk";68100
"Boekel";63100
"Borger-Odoorn";54500
"Borne";61400
"Borsele";60100
"Boxmeer";60700
"Boxtel";59500
"Breda";57200
"Brielle";67800
"Bronckhorst";58800
"Brummen";58900
"Brunssum";47500
"Bunnik";71700
"Bunschoten";65000
"Buren";66300
"Capelle aan den IJssel";56200
"Castricum";68300
"Coevorden";54300
"Cranendonck";60200
"Cuijk";56400
"Culemborg";62000
"Dalfsen";62400
"Dantumadiel";50300
"De Bilt";73400
"De Fryske Marren";55900
"De Ronde Venen";72700
"De Wolden";60700
"Delft";43500
"Den Haag";53100
"Den Helder";50300
"Deurne";58900
"Deventer";53100
"Diemen";53300
"Dinkelland";63600
"Doesburg";51400
"Doetinchem";54400
"Dongen";60800
"Dordrecht";54300
"Drechterland";61200
"Drimmelen";63900
"Dronten";58200
"Druten";61600
"Duiven";61300
"Echt-Susteren";57800
"Edam-Volendam";67400
"Ede";58900
"Eemnes";68500
"Eemsdelta";48900
"Eersel";68100
"Eijsden-Margraten";65100
"Eindhoven";51500
"Elburg";58000
"Emmen";49200
"Enkhuizen";53200
"Enschede";44000
"Epe";58400
"Ermelo";63600
"Etten-Leur";60800
"Geertruidenberg";59200
"Geldrop-Mierlo";59100
"Gemert-Bakel";57800
"Gennep";58000
"Gilze en Rijen";61000
"Goeree-Overflakkee";62100
"Goes";55900
"Goirle";63600
"Gooise Meren";81000
"Gorinchem";56900
"Gouda";57100
"Grave";60500
"Groningen";40600
"Gulpen-Wittem";57100
"Haaksbergen";58600
"Haarlem";60400
"Haarlemmermeer";68800
"Halderberge";58700
"Hardenberg";56700
"Harderwijk";58300
"Hardinxveld-Giessendam";61300
"Harlingen";47600
"Hattem";64700
"Heemskerk";60000
"Heemstede";87500
"Heerde";60600
"Heerenveen";53800
"Heerhugowaard";60300
"Heerlen";44100
"Heeze-Leende";70400
"Heiloo";67800
"Hellendoorn";58200
"Hellevoetsluis";62300
"Helmond";54600
"Hendrik-Ido-Ambacht";68800
"Hengelo";52100
"Het Hogeland";51100
"Heumen";67700
"Heusden";62200
"Hillegom";61100
"Hilvarenbeek";66100
"Hilversum";63100
"Hoeksche Waard";65900
"Hof van Twente";59500
"Hollands Kroon";57600
"Hoogeveen";50400
"Hoorn";55700
"Horst aan de Maas";59300
"Houten";74800
"Huizen";65100
"Hulst";56900
"IJsselstein";66400
"Kaag en Braassem";65600
"Kampen";54800
"Kapelle";62200
"Katwijk";61900
"Kerkrade";45100
"Koggenland";62900
"Krimpen aan den IJssel";61100
"Krimpenerwaard";62300
"Laarbeek";60400
"Landerd";63100
"Landgraaf";51500
"Landsmeer";71500
"Langedijk";62900
"Lansingerland";78400
"Laren";93100
"Leeuwarden";45500
"Leiden";49500
"Leiderdorp";65300
"Leidschendam-Voorburg";63800
"Lelystad";54300
"Leudal";60100
"Leusden";69400
"Lingewaard";61400
"Lisse";61200
"Lochem";62800
"Loon op Zand";59900
"Lopik";66200
"Losser";56600
"Maasdriel";62700
"Maasgouw";60300
"Maassluis";56400
"Maastricht";43800
"Medemblik";59100
"Meerssen";63300
"Meierijstad";61000
"Meppel";54400
"Middelburg";53200
"Midden-Delfland";73000
"Midden-Drenthe";56700
"Midden-Groningen";50200
"Mill en Sint Hubert";58900
"Moerdijk";60900
"Molenlanden";66800
"Montferland";55200
"Montfoort";68200
"Mook en Middelaar";66600
"Neder-Betuwe";61000
"Nederweert";59700
"Nieuwegein";57400
"Nieuwkoop";67800
"Nijkerk";63700
"Nijmegen";45000
"Nissewaard";57900
"Noardeast-Fryslân";49100
"Noord-Beveland";52700
"Noordenveld";59300
"Noordoostpolder";56200
"Noordwijk";64900
"Nuenen c.a.";70000
"Nunspeet";61000
"Oegstgeest";83100
"Oirschot";67300
"Oisterwijk";69300
"Oldambt";46200
"Oldebroek";57400
"Oldenzaal";55900
"Olst-Wijhe";60000
"Ommen";57900
"Oost Gelre";60400
"Oosterhout";58800
"Ooststellingwerf";51000
"Oostzaan";67800
"Opmeer";59900
"Opsterland";55600
"Oss";57700
"Oude IJsselstreek";53100
"Ouder-Amstel";75300
"Oudewater";66900
"Overbetuwe";64300
"Papendrecht";60700
"Peel en Maas";59900
"Pekela";44900
"Pijnacker-Nootdorp";75700
"Purmerend";57300
"Putten";62300
"Raalte";58700
"Reimerswaal";55800
"Renkum";64400
"Renswoude";67300
"Reusel-De Mierden";62400
"Rheden";54000
"Rhenen";61900
"Ridderkerk";56300
"Rijssen-Holten";60300
"Rijswijk";56700
"Roerdalen";56400
"Roermond";51500
"Roosendaal";55200
"Rotterdam";47900
"Rozendaal";"?"
"Rucphen";56300
"Schagen";58600
"Scherpenzeel";61400
"Schiedam";50300
"Schiermonnikoog";"?"
"Schouwen-Duiveland";57000
"'s-Hertogenbosch";59400
"Simpelveld";54200
"Sint Anthonis";64200
"Sint-Michielsgestel";68700
"Sittard-Geleen";52500
"Sliedrecht";57700
"Sluis";51700
"Smallingerland";51300
"Soest";65800
"Someren";59100
"Son en Breugel";72000
"Stadskanaal";46700
"Staphorst";61900
"Stede Broec";56700
"Steenbergen";53100
"Steenwijkerland";53000
"Stein";56000
"Stichtse Vecht";69900
"Súdwest-Fryslân";52500
"Terneuzen";54100
"Terschelling";51100
"Texel";52500
"Teylingen";72400
"Tholen";56500
"Tiel";55700
"Tilburg";48800
"Tubbergen";63800
"Twenterand";55700
"Tynaarlo";66500
"Tytsjerksteradiel";55100
"Uden";58100
"Uitgeest";67800
"Uithoorn";64800
"Urk";64000
"Utrecht";54600
"Utrechtse Heuvelrug";71500
"Vaals";44600
"Valkenburg aan de Geul";56300
"Valkenswaard";56900
"Veendam";48100
"Veenendaal";57500
"Veere";60700
"Veldhoven";65800
"Velsen";59800
"Venlo";50100
"Venray";58000
"Vijfheerenlanden";61900
"Vlaardingen";52100
"Vlieland";"?"
"Vlissingen";47400
"Voerendaal";62000
"Voorschoten";73200
"Voorst";63400
"Vught";73200
"Waadhoeke";51500
"Waalre";75000
"Waalwijk";55800
"Waddinxveen";62200
"Wageningen";41700
"Wassenaar";99100
"Waterland";69600
"Weert";56500
"Weesp";61800
"West Betuwe";67500
"West Maas en Waal";60300
"Westerkwartier";57000
"Westerveld";57800
"Westervoort";54600
"Westerwolde";48700
"Westland";62400
"Weststellingwerf";50800
"Westvoorne";73500
"Wierden";63200
"Wijchen";60600
"Wijdemeren";71700
"Wijk bij Duurstede";66700
"Winterswijk";53700
"Woensdrecht";58800
"Woerden";68100
"Wormerland";62000
"Woudenberg";66500
"Zaanstad";55200
"Zaltbommel";63000
"Zandvoort";57300
"Zeewolde";63700
"Zeist";68800
"Zevenaar";53400
"Zoetermeer";60000
"Zoeterwoude";70000
"Zuidplas";69000
"Zundert";58600
"Zutphen";52000
"Zwartewaterland";60000
"Zwijndrecht";55800
"Zwolle";54900
"Gemeente onbekend";""
