Gemeente,Inwoneraantal
Aa en Hunze,25390
Aalsmeer,31499
Aalten,26962
Achtkarspelen,27935
Alblasserdam,20014
Albrandswaard,25218
Alkmaar,108470
Almelo,72629
Almere,203990
Alphen aan den Rijn,109682
Alphen-Chaam,10083
Altena,54766
Ameland,3654
Amersfoort,155226
Amstelveen,89870
Amsterdam,854047
Apeldoorn,161156
Appingedam,11801
Arnhem,157223
Assen,67708
Asten,16719
Baarle-Nassau,6799
Baarn,24630
Barendrecht,48477
Barneveld,57339
Beek,15895
Beekdaelen,35969
Beemster,9550
Beesel,13444
Berg en Dal,34748
Bergeijk,18398
Bergen (L),13106
Bergen (NH),29941
Bergen op Zoom,66354
Berkelland,44029
Bernheze,30550
Best,29497
Beuningen,25798
Beverwijk,41077
Bladel,20144
Blaricum,10795
Bloemendaal,23208
Bodegraven-Reeuwijk,33948
Boekel,10502
Borger-Odoorn,25351
Borne,23124
Borsele,22716
Boxmeer,28853
Boxtel,30672
Breda,183448
Brielle,17040
Bronckhorst,36352
Brummen,20771
Brunssum,28241
Bunnik,15214
Bunschoten,21266
Buren,26365
Capelle aan den IJssel,66854
Castricum,35608
Coevorden,35299
Cranendonck,20336
Cuijk,24911
Culemborg,28195
Dalfsen,28242
Dantumadiel,18904
De Bilt,42846
De Fryske Marren,51742
De Ronde Venen,43620
De Wolden,23917
Delft,102253
Delfzijl,24864
Den Helder,55760
Deurne,32137
Deventer,99653
Diemen,28121
Dinkelland,26291
Doesburg,11328
Doetinchem,57382
Dongen,25777
Dordrecht,118426
Drechterland,19440
Drimmelen,27063
Dronten,40735
Druten,18701
Duiven,25438
Echt-Susteren,31751
Edam-Volendam,35953
Ede,114682
Eemnes,9112
Eemsdelta,46397
Eersel,18778
Eijsden-Margraten,25566
Eindhoven,229126
Elburg,23107
Emmen,107192
Enkhuizen,18476
Enschede,158261
Epe,32863
Ermelo,26793
Etten-Leur,43532
Geertruidenberg,21517
Geldrop-Mierlo,39252
Gemert-Bakel,30340
Gennep,17052
Gilze en Rijen,26313
Goeree-Overflakkee,49129
Goes,37636
Goirle,23621
Gooise Meren,57337
Gorinchem,36284
Gouda,72700
Grave,12419
Groningen,229962
Gulpen-Wittem,14196
Haaksbergen,24291
Haaren,14103
Haarlem,159709
Haarlemmermeer,153149
