Gemeenten,CO2
Aa en Hunze,155500
Aalsmeer,210600
Aalten,119300
Achtkarspelen,149900
Alblasserdam,125900
Albrandswaard,106600
Alkmaar,484800
Almelo,481200
Almere,734400
Alphen aan den Rijn,429800
Alphen-Chaam,62600
Altena,379300
Ameland,31600
Amersfoort,684100
Amstelveen,368700
Amsterdam,4371500
Apeldoorn,1077600
Arnhem,860600
Assen,306300
Asten,242100
Baarle-Nassau,59700
Baarn,136600
Barendrecht,256500
Barneveld,436600
Beek,-1
Beekdaelen,178400
Beemster,-1
Beesel,85200
Berg en Dal,175000
Bergeijk,102600
Bergen,111100
Bergen (NH.),139200
Bergen op Zoom,956000
Berkelland,289700
Bernheze,204600
Best,209400
Beuningen,-1
Beverwijk,197900
Bladel,134000
Blaricum,64700
Bloemendaal,100700
Bodegraven-Reeuwijk,275100
Boekel,64300
Borger-Odoorn,124200
Borne,105400
Borsele,-1
Boxmeer,275400
Boxtel,234200
Breda,992500
Brielle,170800
Bronckhorst,278800
Brummen,385500
Brunssum,110500
Bunnik,118800
Bunschoten,119500
Buren,137900
Capelle aan den IJssel,205100
Castricum,137500
Coevorden,292100
Cranendonck,502200
Cuijk,234400
Culemborg,129100
Dalfsen,154800
Dantumadiel,70200
De Bilt,241400
De Fryske Marren,421900
De Ronde Venen,275200
De Wolden,194000
Delft,495900
Den Haag,1782000
Den Helder,277200
Deurne,206200
Deventer,526300
Diemen,149600
Dinkelland,157600
Doesburg,48200
Doetinchem,328800
Dongen,261000
Dordrecht,622000
Drechterland,105300
Drimmelen,200200
Dronten,266600
Druten,114300
Duiven,133000
Echt-Susteren,-1
Edam-Volendam,-1
Ede,658000
Eemnes,95500
Eemsdelta,-1
Eersel,134700
Eijsden-Margraten,-1
Eindhoven,1344800
Elburg,124500
Emmen,693800
Enkhuizen,107600
Enschede,688200
Epe,224900
Ermelo,194200
Etten-Leur,385900
Geertruidenberg,-1
Geldrop-Mierlo,203200
Gemert-Bakel,160500
Gennep,126500
