Municipality name,party_name,Votes
Nederland,VVD,2279130
Nederland,D66,1565861
Nederland,PVV (Partij voor de Vrijheid),1124482
Nederland,CDA,990601
Nederland,SP (Socialistische Partij),623371
Nederland,Partij van de Arbeid (P.v.d.A.),597192
Nederland,GROENLINKS,537308
Nederland,Forum voor Democratie,523083
Nederland,Partij voor de Dieren,399750
Nederland,ChristenUnie,351275
Nederland,Volt,252480
Nederland,JA21,246620
Nederland,Staatkundig Gereformeerde Partij (SGP),215249
Nederland,DENK,211237
Nederland,50PLUS,106702
Nederland,BBB,104319
Nederland,BIJ1,87238
Nederland,CODE ORANJE,40731
Nederland,NIDA,33834
Nederland,Splinter,30328
Nederland,Piratenpartij,22816
Nederland,JONG,15297
Nederland,Trots op Nederland (TROTS),13198
Nederland,Lijst Henk Krol,9264
Nederland,NLBeter,8657
Nederland,"Blanco (Zeven, A.J.L.B.)",8277
Nederland,LP (Libertaire Partij),5546
Nederland,OPRECHT,5449
Nederland,JEZUS LEEFT,5015
Nederland,DE FEESTPARTIJ (DFP),3744
Nederland,U-Buntu Connected Front,1880
Nederland,Vrij en Sociaal Nederland,942
Nederland,Partij van de Eenheid,804
Nederland,Wij zijn Nederland,553
Nederland,Partij voor de Republiek,255
Nederland,Modern Nederland,245
Nederland,De Groenen,119
Aa en Hunze,VVD,4323
Aa en Hunze,D66,2679
Aa en Hunze,Partij van de Arbeid (P.v.d.A.),1880
Aa en Hunze,PVV (Partij voor de Vrijheid),1482
Aa en Hunze,CDA,1429
Aa en Hunze,SP (Socialistische Partij),1290
Aa en Hunze,GROENLINKS,835
Aa en Hunze,Partij voor de Dieren,746
Aa en Hunze,Forum voor Democratie,691
Aa en Hunze,BBB,467
Aa en Hunze,ChristenUnie,411
Aa en Hunze,JA21,328
Aa en Hunze,Volt,311
Aa en Hunze,50PLUS,171
Aa en Hunze,Splinter,60
Aa en Hunze,Staatkundig Gereformeerde Partij (SGP),58
Aa en Hunze,CODE ORANJE,41
Aa en Hunze,BIJ1,35
Aa en Hunze,Piratenpartij,28
Aa en Hunze,"Blanco (Zeven, A.J.L.B.)",26
Aa en Hunze,Trots op Nederland (TROTS),24
Aa en Hunze,JONG,18
Aa en Hunze,DENK,11
Aa en Hunze,NLBeter,11
Aa en Hunze,Lijst Henk Krol,9
Aa en Hunze,OPRECHT,9
Aa en Hunze,NIDA,5
Aa en Hunze,LP (Libertaire Partij),4
Aa en Hunze,JEZUS LEEFT,3
Aa en Hunze,Modern Nederland,2
Aalsmeer,VVD,6301
Aalsmeer,D66,2742
Aalsmeer,CDA,2114
Aalsmeer,PVV (Partij voor de Vrijheid),2068
Aalsmeer,Forum voor Democratie,950
Aalsmeer,Partij van de Arbeid (P.v.d.A.),794
Aalsmeer,ChristenUnie,743
Aalsmeer,JA21,702
Aalsmeer,SP (Socialistische Partij),636
Aalsmeer,Partij voor de Dieren,591
Aalsmeer,GROENLINKS,561
Aalsmeer,Volt,344
Aalsmeer,50PLUS,180
Aalsmeer,DENK,165
Aalsmeer,Staatkundig Gereformeerde Partij (SGP),114
Aalsmeer,BIJ1,81
Aalsmeer,BBB,74
Aalsmeer,Splinter,63
Aalsmeer,CODE ORANJE,56
Aalsmeer,Piratenpartij,42
Aalsmeer,Trots op Nederland (TROTS),39
Aalsmeer,NIDA,36
Aalsmeer,JONG,26
Aalsmeer,Lijst Henk Krol,25
Aalsmeer,NLBeter,14
Aalsmeer,DE FEESTPARTIJ (DFP),12
Aalsmeer,LP (Libertaire Partij),12
Aalsmeer,OPRECHT,11
Aalsmeer,Vrij en Sociaal Nederland,5
Aalsmeer,U-Buntu Connected Front,2
Aalsmeer,Wij zijn Nederland,2
Aalten,VVD,3782
Aalten,CDA,3241
Aalten,D66,2045
Aalten,PVV (Partij voor de Vrijheid),1470
Aalten,SP (Socialistische Partij),1133
Aalten,BBB,899
Aalten,ChristenUnie,876
Aalten,Partij van de Arbeid (P.v.d.A.),872
Aalten,Forum voor Democratie,737
Aalten,GROENLINKS,617
Aalten,Partij voor de Dieren,363
Aalten,JA21,355
Aalten,50PLUS,180
Aalten,Volt,177
Aalten,Staatkundig Gereformeerde Partij (SGP),109
Aalten,DENK,73
Aalten,CODE ORANJE,60
Aalten,JONG,31
Aalten,Splinter,29
Aalten,Piratenpartij,24
Aalten,Trots op Nederland (TROTS),22
Aalten,BIJ1,20
Aalten,Lijst Henk Krol,17
Aalten,NLBeter,14
Aalten,JEZUS LEEFT,12
Aalten,"Blanco (Zeven, A.J.L.B.)",9
Aalten,LP (Libertaire Partij),5
Aalten,NIDA,4
Aalten,OPRECHT,4
Aalten,U-Buntu Connected Front,1
Achtkarspelen,CDA,3047
Achtkarspelen,PVV (Partij voor de Vrijheid),2923
Achtkarspelen,VVD,2193
Achtkarspelen,Forum voor Democratie,1652
Achtkarspelen,ChristenUnie,1603
Achtkarspelen,Partij van de Arbeid (P.v.d.A.),1117
Achtkarspelen,SP (Socialistische Partij),1077
Achtkarspelen,D66,1071
Achtkarspelen,BBB,418
Achtkarspelen,GROENLINKS,365
Achtkarspelen,Partij voor de Dieren,356
Achtkarspelen,Staatkundig Gereformeerde Partij (SGP),351
Achtkarspelen,JA21,273
Achtkarspelen,Volt,123
Achtkarspelen,50PLUS,85
Achtkarspelen,CODE ORANJE,67
Achtkarspelen,Trots op Nederland (TROTS),43
Achtkarspelen,JONG,28
Achtkarspelen,Splinter,28
Achtkarspelen,BIJ1,19
Achtkarspelen,JEZUS LEEFT,16
Achtkarspelen,Piratenpartij,16
Achtkarspelen,OPRECHT,15
Achtkarspelen,Lijst Henk Krol,10
Achtkarspelen,LP (Libertaire Partij),8
Achtkarspelen,NLBeter,8
Achtkarspelen,DENK,7
Achtkarspelen,NIDA,4
Achtkarspelen,Partij voor de Republiek,4
Achtkarspelen,De Groenen,2
Achtkarspelen,Vrij en Sociaal Nederland,0
Alblasserdam,VVD,2115
Alblasserdam,Staatkundig Gereformeerde Partij (SGP),2006
Alblasserdam,PVV (Partij voor de Vrijheid),1330
Alblasserdam,ChristenUnie,1084
Alblasserdam,D66,1059
Alblasserdam,CDA,1044
Alblasserdam,Forum voor Democratie,679
Alblasserdam,Partij van de Arbeid (P.v.d.A.),677
Alblasserdam,SP (Socialistische Partij),619
Alblasserdam,JA21,332
Alblasserdam,Partij voor de Dieren,287
Alblasserdam,GROENLINKS,254
Alblasserdam,DENK,206
Alblasserdam,50PLUS,150
Alblasserdam,Volt,78
Alblasserdam,CODE ORANJE,54
Alblasserdam,BBB,40
Alblasserdam,BIJ1,30
Alblasserdam,NIDA,28
Alblasserdam,Splinter,25
Alblasserdam,JONG,15
Alblasserdam,JEZUS LEEFT,11
Alblasserdam,Piratenpartij,11
Alblasserdam,Lijst Henk Krol,9
Alblasserdam,OPRECHT,7
Alblasserdam,"Blanco (Zeven, A.J.L.B.)",5
Alblasserdam,NLBeter,4
Alblasserdam,LP (Libertaire Partij),1
Alblasserdam,Modern Nederland,1
Alblasserdam,Wij zijn Nederland,1
Albrandswaard,VVD,4578
Albrandswaard,D66,2069
Albrandswaard,PVV (Partij voor de Vrijheid),1991
Albrandswaard,CDA,1215
Albrandswaard,JA21,901
Albrandswaard,Forum voor Democratie,854
Albrandswaard,SP (Socialistische Partij),783
Albrandswaard,Partij van de Arbeid (P.v.d.A.),694
Albrandswaard,Partij voor de Dieren,572
Albrandswaard,ChristenUnie,445
Albrandswaard,GROENLINKS,439
Albrandswaard,Volt,273
Albrandswaard,Staatkundig Gereformeerde Partij (SGP),204
Albrandswaard,50PLUS,201
Albrandswaard,DENK,192
Albrandswaard,CODE ORANJE,89
Albrandswaard,BIJ1,85
Albrandswaard,Splinter,54
Albrandswaard,BBB,45
Albrandswaard,NIDA,28
Albrandswaard,Piratenpartij,24
Albrandswaard,JONG,18
Albrandswaard,"Blanco (Zeven, A.J.L.B.)",16
Albrandswaard,Lijst Henk Krol,16
Albrandswaard,NLBeter,12
Albrandswaard,JEZUS LEEFT,10
Albrandswaard,LP (Libertaire Partij),7
Albrandswaard,OPRECHT,4
Albrandswaard,Wij zijn Nederland,2
Albrandswaard,Modern Nederland,0
Alkmaar,VVD,14207
Alkmaar,D66,12290
Alkmaar,PVV (Partij voor de Vrijheid),6100
Alkmaar,GROENLINKS,4671
Alkmaar,CDA,4630
Alkmaar,SP (Socialistische Partij),4506
Alkmaar,Partij van de Arbeid (P.v.d.A.),4413
Alkmaar,Forum voor Democratie,3979
Alkmaar,Partij voor de Dieren,3966
Alkmaar,Volt,1705
Alkmaar,JA21,1669
Alkmaar,DENK,1220
Alkmaar,ChristenUnie,1019
Alkmaar,50PLUS,804
Alkmaar,BBB,701
Alkmaar,BIJ1,427
Alkmaar,CODE ORANJE,355
Alkmaar,Splinter,308
Alkmaar,NIDA,233
Alkmaar,Piratenpartij,233
Alkmaar,"Blanco (Zeven, A.J.L.B.)",169
Alkmaar,Staatkundig Gereformeerde Partij (SGP),164
Alkmaar,Trots op Nederland (TROTS),162
Alkmaar,JONG,105
Alkmaar,NLBeter,84
Alkmaar,LP (Libertaire Partij),60
Alkmaar,DE FEESTPARTIJ (DFP),59
Alkmaar,Lijst Henk Krol,57
Alkmaar,JEZUS LEEFT,30
Alkmaar,OPRECHT,29
Alkmaar,U-Buntu Connected Front,13
Alkmaar,Wij zijn Nederland,10
Almelo,VVD,8416
Almelo,PVV (Partij voor de Vrijheid),6293
Almelo,CDA,5184
Almelo,D66,4501
Almelo,SP (Socialistische Partij),2758
Almelo,Forum voor Democratie,2685
Almelo,Partij van de Arbeid (P.v.d.A.),2379
Almelo,DENK,1485
Almelo,GROENLINKS,1414
Almelo,ChristenUnie,1296
Almelo,Partij voor de Dieren,1062
Almelo,JA21,882
Almelo,Volt,545
Almelo,BBB,416
Almelo,50PLUS,386
Almelo,Staatkundig Gereformeerde Partij (SGP),225
Almelo,CODE ORANJE,149
Almelo,NIDA,99
Almelo,Trots op Nederland (TROTS),89
Almelo,Piratenpartij,81
Almelo,BIJ1,78
Almelo,Splinter,63
Almelo,JONG,46
Almelo,OPRECHT,40
Almelo,Lijst Henk Krol,38
Almelo,JEZUS LEEFT,34
Almelo,"Blanco (Zeven, A.J.L.B.)",31
Almelo,NLBeter,31
Almelo,LP (Libertaire Partij),24
Almelo,Partij van de Eenheid,13
Almelo,Wij zijn Nederland,7
Almelo,U-Buntu Connected Front,3
Almere,VVD,23803
Almere,D66,15672
Almere,PVV (Partij voor de Vrijheid),13011
Almere,Forum voor Democratie,7035
Almere,SP (Socialistische Partij),6899
Almere,GROENLINKS,6086
Almere,Partij van de Arbeid (P.v.d.A.),5890
Almere,CDA,5130
Almere,Partij voor de Dieren,4831
Almere,DENK,3740
Almere,BIJ1,3658
Almere,JA21,2766
Almere,ChristenUnie,2474
Almere,Volt,2249
Almere,50PLUS,1579
Almere,NIDA,873
Almere,CODE ORANJE,574
Almere,Piratenpartij,432
Almere,Splinter,426
Almere,Staatkundig Gereformeerde Partij (SGP),354
Almere,BBB,284
Almere,JONG,237
Almere,Lijst Henk Krol,132
Almere,NLBeter,131
Almere,JEZUS LEEFT,102
Almere,U-Buntu Connected Front,101
Almere,OPRECHT,80
Almere,LP (Libertaire Partij),74
Almere,Partij van de Eenheid,42
Alphen aan den Rijn,VVD,18259
Alphen aan den Rijn,D66,10223
Alphen aan den Rijn,CDA,7041
Alphen aan den Rijn,PVV (Partij voor de Vrijheid),6648
Alphen aan den Rijn,Forum voor Democratie,3573
Alphen aan den Rijn,SP (Socialistische Partij),3404
Alphen aan den Rijn,ChristenUnie,3071
Alphen aan den Rijn,Partij van de Arbeid (P.v.d.A.),2872
Alphen aan den Rijn,GROENLINKS,2785
Alphen aan den Rijn,Partij voor de Dieren,2372
Alphen aan den Rijn,JA21,2059
Alphen aan den Rijn,Staatkundig Gereformeerde Partij (SGP),1738
Alphen aan den Rijn,Volt,1364
Alphen aan den Rijn,DENK,1239
Alphen aan den Rijn,50PLUS,706
Alphen aan den Rijn,BBB,485
Alphen aan den Rijn,CODE ORANJE,354
Alphen aan den Rijn,NIDA,288
Alphen aan den Rijn,BIJ1,285
Alphen aan den Rijn,Splinter,246
Alphen aan den Rijn,JONG,151
Alphen aan den Rijn,Piratenpartij,143
Alphen aan den Rijn,"Blanco (Zeven, A.J.L.B.)",111
Alphen aan den Rijn,NLBeter,74
Alphen aan den Rijn,OPRECHT,60
Alphen aan den Rijn,Lijst Henk Krol,52
Alphen aan den Rijn,LP (Libertaire Partij),42
Alphen aan den Rijn,JEZUS LEEFT,26
Alphen aan den Rijn,U-Buntu Connected Front,9
Alphen aan den Rijn,Modern Nederland,8
Alphen-Chaam,VVD,2251
Alphen-Chaam,CDA,1108
Alphen-Chaam,D66,861
Alphen-Chaam,PVV (Partij voor de Vrijheid),693
Alphen-Chaam,SP (Socialistische Partij),378
Alphen-Chaam,Forum voor Democratie,314
Alphen-Chaam,Partij voor de Dieren,214
Alphen-Chaam,Partij van de Arbeid (P.v.d.A.),195
Alphen-Chaam,GROENLINKS,186
Alphen-Chaam,JA21,185
Alphen-Chaam,BBB,174
Alphen-Chaam,Volt,105
Alphen-Chaam,50PLUS,79
Alphen-Chaam,ChristenUnie,40
Alphen-Chaam,CODE ORANJE,21
Alphen-Chaam,Splinter,16
Alphen-Chaam,DE FEESTPARTIJ (DFP),9
Alphen-Chaam,JONG,9
Alphen-Chaam,Lijst Henk Krol,8
Alphen-Chaam,NLBeter,7
Alphen-Chaam,BIJ1,6
Alphen-Chaam,DENK,6
Alphen-Chaam,Piratenpartij,5
Alphen-Chaam,"Blanco (Zeven, A.J.L.B.)",4
Alphen-Chaam,Staatkundig Gereformeerde Partij (SGP),4
Alphen-Chaam,JEZUS LEEFT,3
Alphen-Chaam,LP (Libertaire Partij),2
Alphen-Chaam,Partij van de Eenheid,2
Alphen-Chaam,NIDA,1
Alphen-Chaam,OPRECHT,1
Alphen-Chaam,U-Buntu Connected Front,1
Altena,VVD,7451
Altena,CDA,4841
Altena,Staatkundig Gereformeerde Partij (SGP),4387
Altena,PVV (Partij voor de Vrijheid),4372
Altena,ChristenUnie,3424
Altena,D66,2510
Altena,Forum voor Democratie,2253
Altena,SP (Socialistische Partij),1448
Altena,Partij van de Arbeid (P.v.d.A.),1091
Altena,JA21,818
Altena,Partij voor de Dieren,780
Altena,GROENLINKS,627
Altena,Volt,311
Altena,BBB,281
Altena,50PLUS,274
Altena,CODE ORANJE,95
Altena,Splinter,71
Altena,JEZUS LEEFT,48
Altena,BIJ1,45
Altena,Piratenpartij,38
Altena,DENK,37
Altena,JONG,34
Altena,Lijst Henk Krol,27
Altena,NLBeter,27
Altena,DE FEESTPARTIJ (DFP),22
Altena,OPRECHT,13
Altena,"Blanco (Zeven, A.J.L.B.)",12
Altena,LP (Libertaire Partij),10
Altena,NIDA,5
Altena,Partij van de Eenheid,0
Altena,U-Buntu Connected Front,0
Ameland,VVD,753
Ameland,CDA,453
Ameland,D66,352
Ameland,PVV (Partij voor de Vrijheid),263
Ameland,Partij van de Arbeid (P.v.d.A.),206
Ameland,BBB,132
Ameland,Forum voor Democratie,130
Ameland,SP (Socialistische Partij),126
Ameland,Partij voor de Dieren,97
Ameland,JA21,94
Ameland,GROENLINKS,93
Ameland,ChristenUnie,60
Ameland,Volt,51
Ameland,50PLUS,15
Ameland,CODE ORANJE,11
Ameland,Staatkundig Gereformeerde Partij (SGP),9
Ameland,Splinter,8
Ameland,Trots op Nederland (TROTS),8
Ameland,Piratenpartij,6
Ameland,JONG,4
Ameland,BIJ1,3
Ameland,DENK,2
Ameland,Lijst Henk Krol,2
Ameland,NLBeter,2
Ameland,Vrij en Sociaal Nederland,2
Ameland,OPRECHT,1
Ameland,De Groenen,0
Ameland,JEZUS LEEFT,0
Ameland,LP (Libertaire Partij),0
Ameland,NIDA,0
Ameland,Partij voor de Republiek,0
Amersfoort,VVD,19713
Amersfoort,D66,19471
Amersfoort,GROENLINKS,7183
Amersfoort,CDA,6830
Amersfoort,PVV (Partij voor de Vrijheid),6623
Amersfoort,ChristenUnie,6127
Amersfoort,Partij van de Arbeid (P.v.d.A.),4942
Amersfoort,SP (Socialistische Partij),4682
Amersfoort,Partij voor de Dieren,4480
Amersfoort,Forum voor Democratie,3522
Amersfoort,DENK,3413
Amersfoort,Volt,3335
Amersfoort,JA21,1813
Amersfoort,Staatkundig Gereformeerde Partij (SGP),860
Amersfoort,50PLUS,763
Amersfoort,BIJ1,732
Amersfoort,NIDA,558
Amersfoort,Splinter,347
Amersfoort,BBB,268
Amersfoort,CODE ORANJE,256
Amersfoort,Piratenpartij,224
Amersfoort,JONG,174
Amersfoort,Trots op Nederland (TROTS),138
Amersfoort,NLBeter,91
Amersfoort,Lijst Henk Krol,70
Amersfoort,LP (Libertaire Partij),53
Amersfoort,DE FEESTPARTIJ (DFP),45
Amersfoort,OPRECHT,43
Amersfoort,JEZUS LEEFT,40
Amersfoort,Vrij en Sociaal Nederland,28
Amersfoort,U-Buntu Connected Front,22
Amstelveen,VVD,11937
Amstelveen,D66,9965
Amstelveen,PVV (Partij voor de Vrijheid),3453
Amstelveen,CDA,3201
Amstelveen,Partij van de Arbeid (P.v.d.A.),3035
Amstelveen,GROENLINKS,2866
Amstelveen,SP (Socialistische Partij),2217
Amstelveen,Partij voor de Dieren,2175
Amstelveen,Volt,1643
Amstelveen,Forum voor Democratie,1522
Amstelveen,JA21,1048
Amstelveen,ChristenUnie,944
Amstelveen,BIJ1,662
Amstelveen,DENK,537
Amstelveen,50PLUS,448
Amstelveen,Staatkundig Gereformeerde Partij (SGP),161
Amstelveen,NIDA,148
Amstelveen,Piratenpartij,129
Amstelveen,Splinter,127
Amstelveen,CODE ORANJE,122
Amstelveen,JONG,68
Amstelveen,BBB,66
Amstelveen,LP (Libertaire Partij),41
Amstelveen,NLBeter,37
Amstelveen,Lijst Henk Krol,36
Amstelveen,Trots op Nederland (TROTS),36
Amstelveen,DE FEESTPARTIJ (DFP),24
Amstelveen,U-Buntu Connected Front,23
Amstelveen,Vrij en Sociaal Nederland,20
Amstelveen,OPRECHT,7
Amstelveen,Wij zijn Nederland,0
Amsterdam,D66,99649
Amsterdam,VVD,55445
Amsterdam,GROENLINKS,44907
Amsterdam,Partij van de Arbeid (P.v.d.A.),32783
Amsterdam,Partij voor de Dieren,30880
Amsterdam,DENK,29384
Amsterdam,Volt,25988
Amsterdam,BIJ1,25563
Amsterdam,PVV (Partij voor de Vrijheid),22180
Amsterdam,SP (Socialistische Partij),21478
Amsterdam,Forum voor Democratie,11971
Amsterdam,CDA,10815
Amsterdam,ChristenUnie,6214
Amsterdam,JA21,5282
Amsterdam,NIDA,5053
Amsterdam,50PLUS,2355
Amsterdam,Piratenpartij,1819
Amsterdam,Splinter,1278
Amsterdam,CODE ORANJE,864
Amsterdam,Staatkundig Gereformeerde Partij (SGP),586
Amsterdam,LP (Libertaire Partij),391
Amsterdam,U-Buntu Connected Front,384
Amsterdam,JONG,383
Amsterdam,BBB,343
Amsterdam,Trots op Nederland (TROTS),301
Amsterdam,Lijst Henk Krol,297
Amsterdam,NLBeter,276
Amsterdam,JEZUS LEEFT,247
Amsterdam,Partij van de Eenheid,221
Amsterdam,Partij voor de Republiek,151
Amsterdam,Vrij en Sociaal Nederland,144
Amsterdam,OPRECHT,106
Amsterdam,De Groenen,89
Apeldoorn,VVD,23443
Apeldoorn,D66,14798
Apeldoorn,PVV (Partij voor de Vrijheid),10081
Apeldoorn,CDA,9084
Apeldoorn,Partij van de Arbeid (P.v.d.A.),5852
Apeldoorn,SP (Socialistische Partij),5610
Apeldoorn,Forum voor Democratie,5452
Apeldoorn,ChristenUnie,5325
Apeldoorn,GROENLINKS,4684
Apeldoorn,Partij voor de Dieren,3840
Apeldoorn,Staatkundig Gereformeerde Partij (SGP),3447
Apeldoorn,JA21,2280
Apeldoorn,Volt,1892
Apeldoorn,DENK,1784
Apeldoorn,50PLUS,1047
Apeldoorn,BBB,962
Apeldoorn,CODE ORANJE,343
Apeldoorn,Splinter,324
Apeldoorn,BIJ1,281
Apeldoorn,Trots op Nederland (TROTS),238
